id,T_cola1,T_enfermera,T_cola2,T_doctora,T_final,T_espera1,T_espera2,T_espera_total,T_total_sistema
0,17.69602126695673,17.69602126695673,24.955781249680367,24.955781249680367,42.58820063191888,0.0,0.0,0.0,24.89217936496215
1,29.13694780137132,29.13694780137132,33.54681185295976,42.58820063191888,58.83413823379583,0.0,9.041388778959117,9.041388778959117,29.697190432424506
2,56.52238250832649,56.52238250832649,59.775436021306376,59.775436021306376,74.60569026419891,0.0,0.0,0.0,18.083307755872426
3,61.65133891801417,61.65133891801417,64.29040009872799,74.60569026419891,77.33155475407882,0.0,10.315290165470927,10.315290165470927,15.680215836064654
4,119.4703338516212,119.4703338516212,126.27304803584722,126.27304803584722,129.95002214215634,0.0,0.0,0.0,10.479688290535137
5,146.76130107068283,146.76130107068283,152.03063500241197,152.03063500241197,156.91429856387975,0.0,0.0,0.0,10.15299749319692
6,172.80299735561735,172.80299735561735,177.2043276207175,177.2043276207175,179.90459390048613,0.0,0.0,0.0,7.101596544868784
7,174.47018107975484,177.2043276207175,184.07119696984392,184.07119696984392,188.87661434960117,2.734146540962655,0.0,2.734146540962655,14.406433269846332
8,206.9251852934825,206.9251852934825,212.80209281847982,212.80209281847982,222.78025272370553,0.0,0.0,0.0,15.855067430223016
9,216.34851268286366,216.34851268286366,220.80303376969505,222.78025272370553,232.14670115354525,0.0,1.9772189540104819,1.9772189540104819,15.798188470681595
10,231.62815622637135,231.62815622637135,234.96682948074704,234.96682948074704,253.05028283330662,0.0,0.0,0.0,21.42212660693528
11,239.39676115981027,239.39676115981027,243.10768057695662,253.05028283330662,263.0211734345626,0.0,9.94260225635,9.94260225635,23.62441227475236
12,254.22955522191597,254.22955522191597,257.3899160502729,263.0211734345626,278.63705014150185,0.0,5.631257384289711,5.631257384289711,24.407494919585872
13,272.064874507137,272.064874507137,279.26305417994473,279.26305417994473,286.4029766627873,0.0,0.0,0.0,14.33810215565029
14,294.05177328768326,294.05177328768326,301.48106352137495,301.48106352137495,303.5351913731691,0.0,0.0,0.0,9.483418085485823
15,298.413708630226,301.48106352137495,304.67235988625754,304.67235988625754,313.15443439394346,3.067354891148966,0.0,3.067354891148966,14.740725763717478
16,320.6614700450959,320.6614700450959,323.765479569401,323.765479569401,339.05664061552716,0.0,0.0,0.0,18.395170570431276
17,324.5243588061698,324.5243588061698,327.02562328390246,339.05664061552716,343.63799570780685,0.0,12.031017331624696,12.031017331624696,19.11363690163705
18,350.5563459865764,350.5563459865764,354.0554725774742,354.0554725774742,368.72168592272214,0.0,0.0,0.0,18.165339936145756
19,364.43098484871064,364.43098484871064,371.89132177565386,371.89132177565386,386.7324019868646,0.0,0.0,0.0,22.301417138153965
20,374.5623769940714,374.5623769940714,380.2883354254516,386.7324019868646,393.00379888000964,0.0,6.444066561413024,6.444066561413024,18.44142188593821
21,387.64679302485615,387.64679302485615,394.10571786573126,394.10571786573126,403.8381847680365,0.0,0.0,0.0,16.19139174318036
22,411.04177756916516,411.04177756916516,416.9881592642784,416.9881592642784,420.5387006715881,0.0,0.0,0.0,9.496923102422954
23,438.46419673173205,438.46419673173205,443.528436883469,443.528436883469,450.02662313006283,0.0,0.0,0.0,11.562426398330786
24,439.410309423247,443.528436883469,447.67176812955006,450.02662313006283,453.400943164591,4.118127460222013,2.354855000512771,6.472982460734784,13.990633741344027
25,461.06668430871923,461.06668430871923,463.9061175402405,463.9061175402405,466.56636351634245,0.0,0.0,0.0,5.499679207623217
26,478.6695109070995,478.6695109070995,482.4745687214064,482.4745687214064,489.7486302365422,0.0,0.0,0.0,11.079119329442733
27,486.45620063211743,486.45620063211743,492.2266325119628,492.2266325119628,499.42585468816975,0.0,0.0,0.0,12.96965405605232
28,504.3404396506304,504.3404396506304,507.33754776162374,507.33754776162374,520.5850830354982,0.0,0.0,0.0,16.2446433848678
29,504.50798708795105,507.33754776162374,513.6872992641901,520.5850830354982,529.1654569843635,2.829560673672688,6.897783771308127,9.727344444980815,24.657469896412408
30,520.6386670032342,520.6386670032342,527.608937723668,529.1654569843635,546.3803467504933,0.0,1.5565192606954952,1.5565192606954952,25.741679747259127
31,538.1056366373155,538.1056366373155,542.1816855573556,546.3803467504933,556.9681136799876,0.0,4.198661193137696,4.198661193137696,18.86247704267214
32,541.4142253526475,542.1816855573556,545.5175617312894,556.9681136799876,573.9312930008663,0.7674602047081862,11.450551948698148,12.218012153406335,32.51706764821881
33,547.7595765483281,547.7595765483281,552.5160441141082,573.9312930008663,577.5235981872954,0.0,21.415248886758036,21.415248886758036,29.76402163896728
34,570.650127826416,570.650127826416,576.943104784628,577.5235981872954,586.8379831600464,0.0,0.5804934026674573,0.5804934026674573,16.18785533363041
35,577.768488322751,577.768488322751,583.7456553776497,586.8379831600464,589.2321675863716,0.0,3.092327782396751,3.092327782396751,11.463679263620634
36,592.9404683990989,592.9404683990989,597.5684651806845,597.5684651806845,599.9873883297554,0.0,0.0,0.0,7.046919930656486
37,610.38945897024,610.38945897024,615.9349850462485,615.9349850462485,625.1601924039543,0.0,0.0,0.0,14.770733433714327
38,616.4109045838425,616.4109045838425,621.5185550142279,625.1601924039543,629.8476383983892,0.0,3.641637389726384,3.641637389726384,13.436733814546756
39,618.8858528270985,621.5185550142279,624.1401713910462,629.8476383983892,640.5539889565005,2.632702187129439,5.707467007342984,8.340169194472423,21.668136129402
40,635.2036641834819,635.2036641834819,637.9019544530008,640.5539889565005,649.0816021798644,0.0,2.6520345034996353,2.6520345034996353,13.877937996382457
