id,T_cola1,T_enfermera,T_cola2,T_doctora,T_final,T_espera1,T_espera2,T_espera_total,T_total_sistema
0,19.29925517782952,19.29925517782952,23.425590242761245,23.425590242761245,32.044678740692305,0.0,0.0,0.0,12.745423562862786
1,34.85584457758826,34.85584457758826,38.78799837366848,38.78799837366848,48.361142818793276,0.0,0.0,0.0,13.505298241205018
2,61.685555363904726,61.685555363904726,64.21890749320131,64.21890749320131,72.32317732990674,0.0,0.0,0.0,10.637621966002015
3,63.82896109960443,64.21890749320131,68.65425560221202,72.32317732990674,81.34279737921064,0.38994639359688676,3.6689217276947232,4.05886812129161,17.51383627960621
4,88.49446386756019,88.49446386756019,95.22666897198607,95.22666897198607,106.80329474640749,0.0,0.0,0.0,18.308830878847303
5,109.24624174379197,109.24624174379197,113.67805094521059,113.67805094521059,125.49308398389908,0.0,0.0,0.0,16.246842240107114
6,109.5371976344128,113.67805094521059,118.92262198576559,125.49308398389908,134.36443065669195,4.14085331079778,6.570461998133496,10.711315308931276,24.827233022279145
7,111.20518612551969,118.92262198576559,125.68802067164613,134.36443065669195,143.42511775365125,7.7174358602458994,8.676409985045822,16.39384584529172,32.21993162813156
8,120.4163296679012,125.68802067164613,132.88311021336233,143.42511775365125,155.12593470624805,5.271691003744934,10.542007540288921,15.813698544033855,34.70960503834685
9,153.34956468137545,153.34956468137545,156.83081699653528,156.83081699653528,165.8724968539566,0.0,0.0,0.0,12.522932172581136
10,158.06972332128424,158.06972332128424,163.45798761389327,165.8724968539566,177.00065819560913,0.0,2.4145092400633246,2.4145092400633246,18.93093487432489
11,174.94930277644485,174.94930277644485,180.9287043704005,180.9287043704005,192.80058198028152,0.0,0.0,0.0,17.85127920383667
12,215.67524227783645,215.67524227783645,223.05381379593132,223.05381379593132,232.39771785749167,0.0,0.0,0.0,16.722475579655224
13,220.2693929113762,223.05381379593132,229.2319717911636,232.39771785749167,243.32880447729343,2.784420884555118,3.1657460663280688,5.950166950883187,23.05941156591723
14,223.04343048113142,229.2319717911636,233.9740308824597,243.32880447729343,253.4049747000705,6.1885413100321784,9.354773594833745,15.543314904865923,30.361544218939088
15,237.07804411950977,237.07804411950977,241.31877553579977,253.4049747000705,261.533418926721,0.0,12.086199164270738,12.086199164270738,24.455374807211257
16,264.8636885085324,264.8636885085324,270.08945792810647,270.08945792810647,280.6094123617733,0.0,0.0,0.0,15.745723853240918
17,276.3494634732048,276.3494634732048,280.62753723396344,280.62753723396344,289.82636817847686,0.0,0.0,0.0,13.476904705272034
18,287.55600038051693,287.55600038051693,292.0738065037786,292.0738065037786,300.3699401111979,0.0,0.0,0.0,12.813939730680943
19,292.7003111019035,292.7003111019035,296.9619529560035,300.3699401111979,308.84473597383305,0.0,3.407987155194405,3.407987155194405,16.144424871929573
20,316.97696852723914,316.97696852723914,322.45175096807736,322.45175096807736,331.9870829619385,0.0,0.0,0.0,15.010114434699346
21,317.11110963971623,322.45175096807736,329.3624770561866,331.9870829619385,343.4940520179995,5.34064132836113,2.624605905751878,7.965247234113008,26.382942378283246
22,339.52992110201996,339.52992110201996,344.7989337976265,344.7989337976265,353.0726158554374,0.0,0.0,0.0,13.542694753417436
23,346.5371374772342,346.5371374772342,350.55497758869274,353.0726158554374,363.3946739411703,0.0,2.5176382667446546,2.5176382667446546,16.85753646393613
24,361.7203310923686,361.7203310923686,366.73180191581616,366.73180191581616,376.1758902440359,0.0,0.0,0.0,14.455559151667273
25,362.9582125066009,366.73180191581616,371.55467438415894,376.1758902440359,387.02857818373076,3.773589409215276,4.621215859876941,8.394805269092217,24.07036567712987
26,461.15482294241633,461.15482294241633,466.1004366453059,466.1004366453059,474.59755858875855,0.0,0.0,0.0,13.442735646342214
27,465.58672117193055,466.1004366453059,469.70843757349655,474.59755858875855,484.09625108971625,0.5137154733753277,4.889121015261992,5.40283648863732,18.5095299177857
28,483.31908065884716,483.31908065884716,486.14853163519825,486.14853163519825,496.310541361157,0.0,0.0,0.0,12.991460702309837
29,488.9646734038834,488.9646734038834,492.70814536448563,496.310541361157,506.39997185044956,0.0,3.602395996671362,3.602395996671362,17.43529844656615
30,538.2716241260435,538.2716241260435,545.6230270338318,545.6230270338318,554.5000032336403,0.0,0.0,0.0,16.228379107596766
31,577.6545150302154,577.6545150302154,580.3056516048625,580.3056516048625,591.1381882893318,0.0,0.0,0.0,13.483673259116358
32,603.6096744191756,603.6096744191756,609.231964357853,609.231964357853,620.024014735934,0.0,0.0,0.0,16.4143403167584
33,611.2422237247597,611.2422237247597,616.4807122242238,620.024014735934,628.9541784234899,0.0,3.5433025117101806,3.5433025117101806,17.71195469873021
34,635.997966074666,635.997966074666,641.590726762203,641.590726762203,651.3557309742271,0.0,0.0,0.0,15.357764899561062
35,654.2890375515956,654.2890375515956,656.9165748320373,656.9165748320373,666.6729430484152,0.0,0.0,0.0,12.38390549681958
36,665.7077471194962,665.7077471194962,671.5203503645416,671.5203503645416,681.5506136290014,0.0,0.0,0.0,15.842866509505257
37,666.8150484136204,671.5203503645416,677.6863559111242,681.5506136290014,692.7759758692872,4.705301950921239,3.8642577178771944,8.569559668798433,25.96092745566682
38,681.983737348985,681.983737348985,687.6998979398012,692.7759758692872,704.3580095257732,0.0,5.0760779294860185,5.0760779294860185,22.37427217678828
39,706.8549429212085,706.8549429212085,711.5531126578246,711.5531126578246,719.7543692184145,0.0,0.0,0.0,12.899426297205991
40,724.5454983500425,724.5454983500425,730.681081832738,730.681081832738,739.7629535873793,0.0,0.0,0.0,15.217455237336821
