id,T_cola1,T_enfermera,T_cola2,T_doctora,T_final,T_espera1,T_espera2,T_espera_total,T_total_sistema
0,2.871588508057561,2.871588508057561,5.740618143159155,5.740618143159155,11.681682776874409,0.0,0.0,0.0,8.810094268816847
1,4.461514258523993,5.740618143159155,9.426098275857782,11.681682776874409,15.580529138494567,1.2791038846351626,2.255584501016626,3.5346883856517888,11.119014879970575
2,4.880982516351797,9.426098275857782,13.846925006273485,15.580529138494567,25.68511071525902,4.545115759505985,1.7336041322210818,6.278719891727067,20.804128198907225
3,43.43283849204309,43.43283849204309,46.22883995193554,46.22883995193554,47.03719547773515,0.0,0.0,0.0,3.604356985692064
4,67.69984215765777,67.69984215765777,72.72051717580516,72.72051717580516,93.13729755927658,0.0,0.0,0.0,25.437455401618806
5,75.47544418834156,75.47544418834156,80.30352994290003,93.13729755927658,94.81531354516655,0.0,12.833767616376548,12.833767616376548,19.33986935682499
6,83.11678697052233,83.11678697052233,89.6825631233637,94.81531354516655,102.42678871669304,0.0,5.1327504218028395,5.1327504218028395,19.310001746170713
7,93.6507023120329,93.6507023120329,100.48557948925841,102.42678871669304,114.16642880550262,0.0,1.9412092274346264,1.9412092274346264,20.515726493469714
8,93.85148656849695,100.48557948925841,106.61430545102806,114.16642880550262,119.2681267730963,6.634092920761461,7.55212335447456,14.18621627523602,25.416640204599346
9,134.52052996047456,134.52052996047456,141.588128963646,141.588128963646,168.71621645152914,0.0,0.0,0.0,34.19568649105457
10,144.1738649069461,144.1738649069461,148.61796636633323,168.71621645152914,168.89242346987152,0.0,20.0982500851959,20.0982500851959,24.71855856292541
11,151.50652229746578,151.50652229746578,156.74583653491553,168.89242346987152,172.3099708101334,0.0,12.146586934955991,12.146586934955991,20.803448512667615
12,185.66355506238455,185.66355506238455,188.36379911093834,188.36379911093834,190.94277357669304,0.0,0.0,0.0,5.279218514308496
13,213.57176990444913,213.57176990444913,218.57200478158967,218.57200478158967,218.96192239507408,0.0,0.0,0.0,5.390152490624956
14,215.07060333499223,218.57200478158967,224.0205477439834,224.0205477439834,225.497354472303,3.5014014465974412,0.0,3.5014014465974412,10.42675113731076
15,237.44136464460917,237.44136464460917,243.33621242397882,243.33621242397882,245.0837654748896,0.0,0.0,0.0,7.6424008302804225
16,272.3455503976503,272.3455503976503,278.34123708084735,278.34123708084735,287.0143175207169,0.0,0.0,0.0,14.668767123066573
17,288.236987783457,288.236987783457,295.4804853693376,295.4804853693376,313.42521898723464,0.0,0.0,0.0,25.18823120377766
18,291.2369695520772,295.4804853693376,302.9459816331553,313.42521898723464,327.25829824103363,4.243515817260402,10.479237354079316,14.722753171339718,36.02132868895643
